Issuer Name,Ticker,Issue Date,Cpn,Amount Issued,Maturity,BBG Composite,Maturity Type,Currency,Cntry of Incorp,Green Instrument Indicator
UBS Group AG,UBS,2021/2/10,4.375,1500000000,#N/A Field Not Applicable,BB+,PERP/CALL,USD,CH,N
Alibaba Group Holding Ltd,BABA,2021/2/9,2.125,1500000000,2031/2/9,A+,CALLABLE,USD,KY,N
Deutsche Lufthansa AG,LHAGR,2021/2/11,3.75,1030803500,2028/2/11,BB-,CALLABLE,EUR,DE,N
Citigroup Inc,C,2021/2/18,3.875,2300000000,#N/A Field Not Applicable,BB+,PERP/CALL,USD,US,N
Apple Inc,AAPL,2021/2/8,0.7,2500000000,2026/2/8,AA+,CALLABLE,USD,US,N
General Electric Co,GE,2016/1/20,3.50525,5694493000,#N/A Field Not Applicable,BB+,PERP/CALL,USD,US,N
Volcan Cia Minera SAA,VOLCAN,2021/2/11,4.375,475000000,2026/2/11,BB-,CALLABLE,USD,PE,N
Carnival Corp,CCL,2021/2/16,5.75,3500000000,2027/3/1,B,CALLABLE,USD,PA,N
Apple Inc,AAPL,2021/2/8,1.65,2750000000,2031/2/8,AA+,CALLABLE,USD,US,N
Vallourec SA,VKFP,2017/10/18,6.625,648279500,2022/10/15,NR,CALLABLE,EUR,FR,N
Apple Inc,AAPL,2021/2/8,1.2,2500000000,2028/2/8,AA+,CALLABLE,USD,US,N
Deutsche Lufthansa AG,LHAGR,2021/2/11,2.875,909532500,2025/2/11,BB-,CALLABLE,EUR,DE,N
Apple Inc,AAPL,2021/2/8,2.65,3000000000,2051/2/8,AA+,CALLABLE,USD,US,N
Alibaba Group Holding Ltd,BABA,2021/2/9,2.7,1000000000,2041/2/9,A+,CALLABLE,USD,KY,N
Vallourec SA,VKFP,2014/9/30,2.25,631435000,2024/9/30,NR,AT MATURITY,EUR,FR,N
Orsted AS,ORSTED,2021/2/18,1.5,604095000,3021/2/18,BB+,CALLABLE,EUR,DK,Y
Alibaba Group Holding Ltd,BABA,2021/2/9,3.15,1500000000,2051/2/9,A+,CALLABLE,USD,KY,N
Deutsche Bank AG,DB,2021/2/17,0.75,1806795000,2027/2/17,BBB-,CALLABLE,EUR,DE,N
Apple Inc,AAPL,2021/2/8,2.8,1750000000,2061/2/8,AA+,CALLABLE,USD,US,N
AMC Entertainment Holdings Inc,AMC,2020/7/31,12,1528087828,2026/6/15,DDD,CALLABLE,USD,US,N
Alibaba Group Holding Ltd,BABA,2017/12/6,3.4,2550000000,2027/12/6,A+,CALLABLE,USD,KY,N
Banco Santander SA,SANTAN,2021/2/11,0.2,1515887500,2028/2/11,A,AT MATURITY,EUR,ES,N
BNP Paribas SA,BNP,2020/2/25,4.5,1750000000,#N/A Field Not Applicable,BBB-,PERP/CALL,USD,FR,N
Iliad SA,ILDFP,2021/2/11,1.875,848897000,2028/2/11,#N/A N/A,CALLABLE,EUR,FR,N
Apple Inc,AAPL,2021/2/8,2.375,1500000000,2041/2/8,AA+,CALLABLE,USD,US,N
CaixaBank SA,CABKSM,2021/2/9,0.5,1210540000,2029/2/9,BBB,CALLABLE,EUR,ES,Y
Alibaba Group Holding Ltd,BABA,2021/2/9,3.25,1000000000,2061/2/9,A+,CALLABLE,USD,KY,N
Altria Group Inc,MO,2021/2/4,2.45,1750000000,2032/2/4,BBB,CALLABLE,USD,US,N
BNP Paribas SA,BNP,2021/2/25,4.625,1250000000,#N/A Field Not Applicable,NR,PERP/CALL,USD,FR,N
Deutsche Lufthansa AG,LHAGR,2020/12/1,3,1204530000,2026/5/29,BB-,CALLABLE,EUR,DE,N
Altria Group Inc,MO,2021/2/4,4,1000000000,2061/2/4,BBB,CALLABLE,USD,US,N
YPF SA,YPFDAR,2015/4/28,8.5,1500000000,2025/7/28,CCC-,AT MATURITY,USD,AR,N
International Business Machines Corp,IBM,1995/10/30,7,600000000,2025/10/30,A,AT MATURITY,USD,US,N
Ahli Bank QSC,ABQKQD,2021/2/17,4,300000000,#N/A Field Not Applicable,#N/A N/A,PERP/CALL,USD,QA,N
Deutsche Bank AG,DB,2021/2/17,1.375,1806795000,2032/2/17,BBB-,CALLABLE,EUR,DE,N
United States Steel Corp,X,2017/8/4,6.875,750000000,2025/8/15,CCC+,CALLABLE,USD,US,N
Volcan Cia Minera SAA,VOLCAN,2012/2/2,5.375,600000000,2022/2/2,BB-,AT MATURITY,USD,PE,N
Deutsche Bank AG,DB,2021/2/22,1.875,841404000,2028/12/22,BBB-,CALLABLE,GBP,DE,N
UBS Group AG,UBS,2021/2/11,2.095,2000000000,2032/2/11,A,CALLABLE,USD,CH,N
SoftBank Group Corp,SOFTBK,2017/7/19,6,2750000000,#N/A Field Not Applicable,NR,PERP/CALL,USD,JP,N
JPMorgan Chase & Co,JPM,2021/2/4,1.953,3000000000,2032/2/4,A,CALLABLE,USD,US,N
Credit Suisse Group AG,CS,2020/12/9,4.5,1500000000,#N/A Field Not Applicable,BB,PERP/CALL,USD,CH,N
UBS Group AG,UBS,2021/2/10,4.375,1500000000,#N/A Field Not Applicable,BB+,PERP/CALL,USD,CH,N
Chesapeake Energy Corp,CHK,2021/2/5,5.5,500000000,2026/2/1,B+,CALLABLE,USD,US,N
UBS Group AG,UBS,2018/1/31,5,2000000000,#N/A Field Not Applicable,BB+,PERP/CALL,USD,CH,N
Northern Oil and Gas Inc,NOG,2021/2/18,8.125,550000000,2028/3/1,B-,CALLABLE,USD,US,N
