"","Code","Firmnames","Return on Assets","Gross Margin","Assets/Equity","Asset Turnover","Return on Invested Capital","Tobin's Q Ratio","Profit Margin","Total GHG Emissions","Total Assets","Year"
"1",1,"AAPL US EQUITY","    18.0066","    38.5880","     2.0784","     0.8331","    29.5464","     3.0681","    21.6144","   363.3970","231839.0000","2014"
"2",1,"AAPL US EQUITY","    20.4503","    40.0599","     2.4326","     0.8951","    30.7770","     2.7930","    22.8458","   404.4680","290345.0000","2015"
"3",1,"AAPL US EQUITY","    14.9296","    39.0760","     2.5083","     0.7047","    20.0803","     2.4710","    21.1868","   633.8420","321686.0000","2016"
"4",1,"AAPL US EQUITY","    13.8739","    38.4699","     2.7999","     0.6578","    17.9864","     2.7479","    21.0924","   696.0000","375319.0000","2017"
"5",1,"AAPL US EQUITY","    16.0668","    38.3437","     3.4133","     0.7168","    22.9356","     3.6420","    22.4142","   831.0900","365725.0000","2018"
"6",1,"AAPL US EQUITY","    15.6924","    37.8178","     3.7410","     0.7389","    24.7611","     3.6048","    21.2381","   912.6670","338516.0000","2019"
"7",1,"AAPL US EQUITY","    17.3341","    38.2332","     4.9570","     0.8288","    28.1960","     6.6835","    20.9136","   912.6670","323888.0000","2020"
"8",2,"ADI US EQUITY","   9.5053","  63.8860","   1.4417","   0.4327","  11.3307","   2.5575","  21.9675",NA,"6859.6900","2014"
"9",2,"ADI US EQUITY","  10.0137","  65.7701","   1.3915","   0.4936","  15.6269","   2.9392","  20.2870",NA,"7058.7770","2015"
"10",2,"ADI US EQUITY","  11.4666","  65.0952","   1.5429","   0.4553","  14.1077","   2.8083","  25.1845",NA,"7970.2780","2016"
"11",2,"ADI US EQUITY","    4.9964","   59.9431","    2.0805","    0.3509","    6.9404","    2.1098","   14.2390",NA,"21141.2940","2017"
"12",2,"ADI US EQUITY","    7.2486","   68.2829","    1.8138","    0.2994","    9.0064","    2.0276","   24.2097",NA,"20438.3660","2018"
"13",2,"ADI US EQUITY","    6.5167","   66.9956","    1.8270","    0.2864","    8.5789","    2.3356","   22.7507",NA,"21392.6410","2019"
"14",2,"ADI US EQUITY","    5.6963","   65.8654","    1.7894","    0.2615","    7.7574","    2.4811","   21.7874",NA,"21468.6030","2020"
"15",3,"AES US EQUITY","    1.9376","   18.4818","    5.2635","    0.4063","    7.7238","    1.1391","    4.7693","75550.3980","38966.0000","2014"
"16",3,"AES US EQUITY","    0.8113","   23.6501","    5.4360","    0.2985","    4.8264","    1.0886","    2.7176","69001.8980","36470.0000","2015"
"17",3,"AES US EQUITY","   -3.1132","   23.1787","    5.5730","    0.2832","    6.8635","    1.1347","  -10.9911","70579.0000","36124.0000","2016"
"18",3,"AES US EQUITY","   -3.3537","   23.4093","    5.8275","    0.3042","   -2.1262","    1.1415","  -11.0256","63723.0000","33112.0000","2017"
"19",3,"AES US EQUITY","    3.6658","   23.9661","    5.0164","    0.3272","    5.9669","    1.1958","   11.2053","54514.0000","32521.0000","2018"
"20",3,"AES US EQUITY","    0.9158","   23.0543","    5.5007","    0.3080","    4.5409","    1.3036","    2.9738","49451.0000","33648.0000","2019"
"21",3,"AES US EQUITY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020"
"22",4,"AGR US EQUITY",NA,"   77.7422","    2.0406",NA,NA,"    0.8962","    6.2514",NA,"30743.0000","2014"
"23",4,"AGR US EQUITY","    2.0370","   78.6308","    2.0587","    0.1940","    4.0391","    0.8885","   10.5018"," 2001.9300","31309.0000","2015"
"24",4,"AGR US EQUITY","    1.2099","   77.5616","    2.0980","    0.1894","    3.2500","    1.0174","    6.3894"," 1932.9800","31671.0000","2016"
"25",4,"AGR US EQUITY","    1.8641","   74.4829","    2.0884","    0.2030","    4.1367","    1.0116","    9.1849"," 1725.6300","32167.0000","2017"
"26",4,"AGR US EQUITY","    2.1026","   76.1912","    2.2081","    0.1904","    3.5924","    1.0166","   11.0445"," 2165.5800","34416.0000","2018"
"27",4,"AGR US EQUITY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019"
"28",4,"AGR US EQUITY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020"
