"","Firmnames","Year","Code.x","Return_on_Assets_bf","Gross_Margin_bf","AssetsEquityRatio_bf","Asset_Turnover_bf","Return_on_Invested_Capital_bf","Tobins_Q_Ratio_bf","Profit_Margin_bf","Total_GHG_Emissions_bf","Total_Assets_bf","Code.y","Cpn","Amount_Issued","Maturity","BBG_Composite","Maturity_Type","Currency","Cntry_of_Incorp","Green_Instrument_Indicator"
"2","AAPL US EQUITY",2015,1,18.0066,38.588,2.0784,0.8331,29.5464,3.0681,21.6144,363.397,231839,1,3.45,2e+09,"2045/2/9","AA+","AT MATURITY","USD","US",0
"3","AAPL US EQUITY",2015,1,18.0066,38.588,2.0784,0.8331,29.5464,3.0681,21.6144,363.397,231839,1,3.2,2e+09,"2025/5/13","AA+","AT MATURITY","USD","US",0
"4","AAPL US EQUITY",2015,1,18.0066,38.588,2.0784,0.8331,29.5464,3.0681,21.6144,363.397,231839,1,2.5,1.5e+09,"2025/2/9","AA+","AT MATURITY","USD","US",0
"5","AAPL US EQUITY",2015,1,18.0066,38.588,2.0784,0.8331,29.5464,3.0681,21.6144,363.397,231839,1,3.7,823204500,"2022/8/28","AA+","AT MATURITY","AUD","US",0
"6","AAPL US EQUITY",2015,1,18.0066,38.588,2.0784,0.8331,29.5464,3.0681,21.6144,363.397,231839,1,2.15,1.25e+09,"2022/2/9","AA+","AT MATURITY","USD","US",0
"7","AAPL US EQUITY",2015,1,18.0066,38.588,2.0784,0.8331,29.5464,3.0681,21.6144,363.397,231839,1,2.7,1.25e+09,"2022/5/13","AA+","AT MATURITY","USD","US",0
"8","AAPL US EQUITY",2016,1,20.4503,40.0599,2.4326,0.8951,30.777,2.793,22.8458,404.468,290345,1,3.85,2e+09,"2046/8/4","AA+","CALLABLE","USD","US",0
"9","AAPL US EQUITY",2016,1,20.4503,40.0599,2.4326,0.8951,30.777,2.793,22.8458,404.468,290345,1,3.25,3.25e+09,"2026/2/23","AA+","CALLABLE","USD","US",0
"10","AAPL US EQUITY",2016,1,20.4503,40.0599,2.4326,0.8951,30.777,2.793,22.8458,404.468,290345,1,4.65,4e+09,"2046/2/23","AA+","CALLABLE","USD","US",0
"11","AAPL US EQUITY",2016,1,20.4503,40.0599,2.4326,0.8951,30.777,2.793,22.8458,404.468,290345,1,1.55,1.25e+09,"2021/8/4","AA+","CALLABLE","USD","US",0
"12","AAPL US EQUITY",2016,1,20.4503,40.0599,2.4326,0.8951,30.777,2.793,22.8458,404.468,290345,1,2.85,1.5e+09,"2023/2/23","AA+","CALLABLE","USD","US",1
"13","AAPL US EQUITY",2016,1,20.4503,40.0599,2.4326,0.8951,30.777,2.793,22.8458,404.468,290345,1,4.5,1.25e+09,"2036/2/23","AA+","CALLABLE","USD","US",0
"14","AAPL US EQUITY",2017,1,14.9296,39.076,2.5083,0.7047,20.0803,2.471,21.1868,633.842,321686,1,3,1e+09,"2027/6/20","AA+","CALLABLE","USD","US",1
"15","AAPL US EQUITY",2017,1,14.9296,39.076,2.5083,0.7047,20.0803,2.471,21.1868,633.842,321686,1,2.9,2e+09,"2027/9/12","AA+","CALLABLE","USD","US",0
"16","AAPL US EQUITY",2017,1,14.9296,39.076,2.5083,0.7047,20.0803,2.471,21.1868,633.842,321686,1,2.85,1.75e+09,"2024/5/11","AA+","CALLABLE","USD","US",0
"17","AAPL US EQUITY",2017,1,14.9296,39.076,2.5083,0.7047,20.0803,2.471,21.1868,633.842,321686,1,3,1.75e+09,"2024/2/9","AA+","CALLABLE","USD","US",0
"18","AAPL US EQUITY",2017,1,14.9296,39.076,2.5083,0.7047,20.0803,2.471,21.1868,633.842,321686,1,3.2,2e+09,"2027/5/11","AA+","CALLABLE","USD","US",0
"19","AAPL US EQUITY",2017,1,14.9296,39.076,2.5083,0.7047,20.0803,2.471,21.1868,633.842,321686,1,2.513,1988680000,"2024/8/19","AA+","CALLABLE","CAD","US",0
"20","AAPL US EQUITY",2017,1,14.9296,39.076,2.5083,0.7047,20.0803,2.471,21.1868,633.842,321686,1,3,1.5e+09,"2027/11/13","AA+","CALLABLE","USD","US",0
"21","AAPL US EQUITY",2017,1,14.9296,39.076,2.5083,0.7047,20.0803,2.471,21.1868,633.842,321686,1,3.75,1.25e+09,"2047/11/13","AA+","CALLABLE","USD","US",0
"22","AAPL US EQUITY",2017,1,14.9296,39.076,2.5083,0.7047,20.0803,2.471,21.1868,633.842,321686,1,2.5,1.5e+09,"2022/2/9","AA+","CALLABLE","USD","US",0
"23","AAPL US EQUITY",2017,1,14.9296,39.076,2.5083,0.7047,20.0803,2.471,21.1868,633.842,321686,1,0.69088,1e+09,"2022/2/9","AA+","AT MATURITY","USD","US",0
"24","AAPL US EQUITY",2017,1,14.9296,39.076,2.5083,0.7047,20.0803,2.471,21.1868,633.842,321686,1,4.25,1e+09,"2047/2/9","AA+","CALLABLE","USD","US",0
"25","AAPL US EQUITY",2017,1,14.9296,39.076,2.5083,0.7047,20.0803,2.471,21.1868,633.842,321686,1,3.35,2.25e+09,"2027/2/9","AA+","CALLABLE","USD","US",0
"26","AAPL US EQUITY",2019,1,16.0668,38.3437,3.4133,0.7168,22.9356,3.642,22.4142,831.09,365725,1,0.5,1105370000,"2031/11/15","AA+","CALLABLE","EUR","US",1
"27","AAPL US EQUITY",2019,1,16.0668,38.3437,3.4133,0.7168,22.9356,3.642,22.4142,831.09,365725,1,2.95,1.5e+09,"2049/9/11","AA+","CALLABLE","USD","US",0
"28","AAPL US EQUITY",2019,1,16.0668,38.3437,3.4133,0.7168,22.9356,3.642,22.4142,831.09,365725,1,2.2,1.75e+09,"2029/9/11","AA+","CALLABLE","USD","US",0
"29","AAPL US EQUITY",2019,1,16.0668,38.3437,3.4133,0.7168,22.9356,3.642,22.4142,831.09,365725,1,2.05,2e+09,"2026/9/11","AA+","CALLABLE","USD","US",0
